item,price,quantity,total,link
Nanofit 2x8,4.6,4,18.4,https://www.digikey.com/en/products/detail/molex/1053101216/6164149
Nanofit 1x4,1.11,8,8.88,https://www.digikey.com/en/products/detail/molex/1053091204/6131609?
Nanofit 1x2,0.95,16,15.2,https://www.digikey.com/en/products/detail/molex/1053091202/6131607?s=N4IgTCBcDaIIwAYCsBmBBOOYEQLoF8g
Nanofit 2x8 connector ,0.98,4,3.92,https://www.digikey.com/en/products/detail/molex/1053081216/6164114?s=N4IgTCBcDaIIwAYCsBmBAOAtHMcBsIAugL5A
Nanofit 1x4 connector,0.41,8,3.28,https://www.digikey.com/en/products/detail/molex/1053071204/6131602?s=N4IgTCBcDaIIwAYCsBmBB2QiARzAgLCALoC%2BQA
Nanofit 1x2 connector,0.35,16,5.6,https://www.digikey.com/en/products/detail/molex/1053071202/6131600?s=N4IgTCBcDaIIwAYCsBmBB2QiARzAiBdAXyA
crimp,0.11,140,15.4,https://www.digikey.com/en/products/detail/molex/1053002100/7693143?s=N4IgTCBcDaIAQEYAMBWAzEphEAjMpIBdAXyA
,,,0,
PCB,3.60,1,3.60,
,,,0,
,,,0,
,,,,
,,,GRAND TOTAL,

,,,74.28,

